2024-12-11 09:31:52.171 [info] Starting Python Locator /home/mpeters/.vscode/extensions/ms-python.python-2024.20.0-linux-x64/python-env-tools/bin/pet server
2024-12-11 09:31:52.209 [info] Discovered env: /bin/python3
2024-12-11 09:31:52.625 [info] Discovered env: /usr/bin/python3
2024-12-11 09:31:55.938 [info] Locator Conda took 86.784624ms
2024-12-11 09:31:55.939 [info] Locator Homebrew took 76.577µs
2024-12-11 09:31:55.939 [info] Locator LinuxGlobal took 67.539692ms
2024-12-11 09:31:55.940 [info] Locator PipEnv took 1.772841ms
2024-12-11 09:31:55.940 [info] Locator Poetry took 2.540799ms
2024-12-11 09:31:55.940 [info] Locator PyEnv took 276.626µs
2024-12-11 09:31:55.943 [info] Locator Venv took 26.041µs
2024-12-11 09:31:55.944 [info] Locator VirtualEnv took 32.415µs
2024-12-11 09:31:55.944 [info] Locator VirtualEnvWrapper took 1.379119ms
2024-12-11 09:31:55.945 [info] Locator GlobalVirtualEnvs took 199.866µs
2024-12-11 09:31:55.945 [info] Locator Locators took 90.437113ms
2024-12-11 09:31:55.945 [info] Locator Path took 218.447896ms
2024-12-11 09:31:55.945 [info] Locator Workspaces took 6.624434ms
2024-12-11 09:31:55.945 [info] Refresh completed in 219ms
2024-12-11 09:31:55.955 [info] Resolved Python Environment /bin/python3
2024-12-11 09:35:19.929 [info] Resolved Python Environment /bin/python3
2024-12-11 09:39:55.556 [info] Resolved Python Environment /bin/python3
2024-12-11 09:40:48.997 [info] Resolved Python Environment /bin/python3
2024-12-11 10:16:30.434 [info] Resolved Python Environment /bin/python3
2024-12-11 10:25:10.311 [info] Resolved Python Environment /bin/python3
2024-12-11 10:26:42.942 [info] Resolved Python Environment /bin/python3
2024-12-11 10:28:01.844 [info] Resolved Python Environment /bin/python3
2024-12-11 10:28:44.915 [info] Resolved Python Environment /bin/python3
2024-12-11 10:29:16.846 [info] Resolved Python Environment /bin/python3
2024-12-11 10:30:39.800 [info] Resolved Python Environment /bin/python3
2024-12-11 10:52:23.768 [info] Resolved Python Environment /bin/python3
2024-12-11 10:54:53.678 [info] Resolved Python Environment /bin/python3
2024-12-11 10:55:48.558 [info] Resolved Python Environment /bin/python3
2024-12-11 10:57:13.107 [info] Resolved Python Environment /bin/python3
2024-12-11 10:59:27.939 [info] Resolved Python Environment /bin/python3
2024-12-11 11:00:18.881 [info] Resolved Python Environment /bin/python3
2024-12-11 11:01:24.568 [info] Resolved Python Environment /bin/python3
2024-12-11 11:03:33.411 [info] Resolved Python Environment /bin/python3
2024-12-11 11:05:18.123 [info] Resolved Python Environment /bin/python3
2024-12-11 11:06:33.782 [info] Resolved Python Environment /bin/python3
2024-12-11 11:08:06.920 [info] Resolved Python Environment /bin/python3
2024-12-11 11:12:41.031 [info] Resolved Python Environment /bin/python3
2024-12-11 11:13:56.213 [info] Resolved Python Environment /bin/python3
2024-12-11 11:15:13.655 [info] Resolved Python Environment /bin/python3
2024-12-11 11:15:56.586 [info] Resolved Python Environment /bin/python3
2024-12-11 11:16:43.034 [info] Resolved Python Environment /bin/python3
2024-12-11 11:17:21.843 [info] Resolved Python Environment /bin/python3
2024-12-11 12:54:41.146 [info] Resolved Python Environment /bin/python3
2024-12-11 15:26:01.304 [info] Resolved Python Environment /bin/python3
2024-12-11 15:54:33.327 [info] Resolved Python Environment /bin/python3
2024-12-11 15:56:35.886 [info] Resolved Python Environment /bin/python3
2024-12-11 15:58:27.509 [info] Resolved Python Environment /bin/python3
2024-12-11 16:01:53.767 [info] Resolved Python Environment /bin/python3
2024-12-11 16:06:54.284 [info] Resolved Python Environment /bin/python3
2024-12-11 16:07:32.280 [info] Resolved Python Environment /bin/python3
