2024-12-13 08:53:36.870 [info] Starting Python Locator /home/mpeters/.vscode/extensions/ms-python.python-2024.22.0-linux-x64/python-env-tools/bin/pet server
2024-12-13 08:53:36.874 [info] Discovered env: /home/mpeters/home/bin/python
2024-12-13 08:53:36.879 [info] Discovered env: /bin/python3
2024-12-13 08:53:36.880 [info] Discovered env: /usr/bin/python3
2024-12-13 08:53:36.908 [info] Locator Conda took 56.109148ms
2024-12-13 08:53:36.908 [info] Locator Homebrew took 1.158688ms
2024-12-13 08:53:36.908 [info] Locator LinuxGlobal took 55.151748ms
2024-12-13 08:53:36.908 [info] Locator PipEnv took 16.883µs
2024-12-13 08:53:36.909 [info] Locator Poetry took 810.177µs
2024-12-13 08:53:36.909 [info] Locator PyEnv took 260.579µs
2024-12-13 08:53:36.909 [info] Locator Venv took 6.126275ms
2024-12-13 08:53:36.909 [info] Locator VirtualEnv took 26.229µs
2024-12-13 08:53:36.909 [info] Locator VirtualEnvWrapper took 72.657µs
2024-12-13 08:53:36.909 [info] Locator GlobalVirtualEnvs took 479.052µs
2024-12-13 08:53:36.909 [info] Locator Locators took 62.367571ms
2024-12-13 08:53:36.909 [info] Locator Path took 114.157013ms
2024-12-13 08:53:36.910 [info] Locator Workspaces took 11.842335ms
2024-12-13 08:53:36.910 [info] Refresh completed in 114ms
2024-12-13 08:53:37.179 [info] Discovered env: /home/mpeters/home/bin/python
2024-12-13 08:53:37.182 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 08:53:37.217 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 08:53:37.218 [info] Discovered env: /bin/python3
2024-12-13 08:53:37.219 [info] Discovered env: /usr/bin/python3
2024-12-13 08:53:38.105 [info] Locator Conda took 39.894386ms
2024-12-13 08:53:38.174 [info] Locator Homebrew took 562.359µs
2024-12-13 08:53:38.217 [info] Locator LinuxGlobal took 39.081599ms
2024-12-13 08:53:38.332 [info] Locator PipEnv took 166.852µs
2024-12-13 08:53:38.385 [info] Locator Poetry took 377.447µs
2024-12-13 08:53:38.447 [info] Locator PyEnv took 906.296µs
2024-12-13 08:53:38.456 [info] Locator Venv took 159.026µs
2024-12-13 08:53:38.529 [info] Locator VirtualEnv took 13.846µs
2024-12-13 08:53:38.563 [info] Locator VirtualEnvWrapper took 28.193µs
2024-12-13 08:53:38.826 [info] Locator GlobalVirtualEnvs took 679.246µs
2024-12-13 08:53:38.867 [info] Locator Locators took 41.392339ms
2024-12-13 08:53:38.877 [info] Locator Path took 88.426328ms
2024-12-13 08:53:38.885 [info] Locator Workspaces took 1.947338ms
2024-12-13 08:53:38.900 [info] Refresh completed in 88ms
2024-12-13 08:55:38.769 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 08:56:12.556 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 08:58:17.231 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 09:03:21.743 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 09:04:46.506 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 09:05:37.713 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 09:07:06.203 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 09:07:38.634 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 09:08:40.990 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 09:09:26.814 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 09:10:56.786 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 09:13:06.787 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 09:15:27.246 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 09:16:49.497 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 09:17:44.219 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 09:18:20.058 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 09:24:08.927 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 09:25:58.054 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 09:26:34.493 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 09:27:55.572 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 09:37:31.685 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 09:39:09.945 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 09:39:47.083 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 09:40:40.815 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 09:48:58.956 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 09:50:49.469 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 09:51:39.814 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 09:52:39.268 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 09:54:07.653 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 09:55:15.695 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 09:55:57.462 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 09:59:31.402 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 10:00:17.025 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 10:06:01.375 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 10:06:41.317 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 10:07:24.171 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 10:07:54.840 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 10:08:25.279 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 10:11:40.194 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 10:14:37.090 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 10:15:21.969 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 10:17:30.636 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 10:18:10.323 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 10:18:40.425 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 10:20:44.559 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 10:21:39.404 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 10:22:26.308 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 10:38:21.923 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 10:39:02.702 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 10:39:48.585 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 10:40:44.060 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 10:41:57.869 [info] Resolved Python Environment /home/mpeters/home/bin/python
2024-12-13 11:04:24.789 [info] Resolved Python Environment /home/mpeters/home/bin/python
